Tempo (s);Tensao (V);Corrente (A);Modo;Carga;Descarga;Ciclo
122.4;4.196;0.000;AUTO;ON;OFF;0
123.2;4.195;0.000;AUTO;ON;OFF;0
124.3;4.196;0.000;AUTO;ON;OFF;0
125.4;4.196;0.000;AUTO;ON;OFF;0
126.4;4.196;0.000;AUTO;ON;OFF;0
127.4;4.196;0.000;AUTO;ON;OFF;0
128.4;4.196;0.000;AUTO;ON;OFF;0
129.4;4.195;0.000;AUTO;ON;OFF;0
130.5;4.196;0.000;AUTO;ON;OFF;0
131.3;4.196;0.000;AUTO;ON;OFF;0
132.5;4.196;0.000;AUTO;ON;OFF;0
133.5;4.196;0.000;AUTO;ON;OFF;0
134.5;4.196;0.000;AUTO;ON;OFF;0
135.5;4.196;0.000;AUTO;ON;OFF;0
136.5;4.196;0.000;AUTO;ON;OFF;0
137.5;4.196;0.000;AUTO;ON;OFF;0
138.6;4.196;0.000;AUTO;ON;OFF;0
139.4;4.196;0.000;AUTO;ON;OFF;0
140.6;4.196;0.000;AUTO;ON;OFF;0
141.6;4.196;0.000;AUTO;ON;OFF;0
142.6;4.196;0.000;AUTO;ON;OFF;0
143.6;4.196;0.000;AUTO;ON;OFF;0
144.6;4.196;0.000;AUTO;ON;OFF;0
145.6;4.196;0.000;AUTO;ON;OFF;0
146.6;4.196;0.000;AUTO;ON;OFF;0
147.5;4.197;0.000;AUTO;ON;OFF;0
148.7;4.197;0.000;AUTO;ON;OFF;0
149.7;4.196;0.000;AUTO;ON;OFF;0
150.7;4.197;0.000;AUTO;ON;OFF;0
151.7;4.197;0.000;AUTO;ON;OFF;0
152.7;4.196;0.000;AUTO;ON;OFF;0
153.7;4.197;0.000;AUTO;ON;OFF;0
154.7;4.198;0.000;AUTO;ON;OFF;0
155.7;4.197;0.000;AUTO;ON;OFF;0
156.8;4.197;0.000;AUTO;ON;OFF;0
157.8;4.198;0.000;AUTO;ON;OFF;0
158.8;4.197;0.000;AUTO;ON;OFF;0
159.8;4.197;0.000;AUTO;ON;OFF;0
160.8;4.198;0.000;AUTO;ON;OFF;0
161.8;4.198;0.000;AUTO;ON;OFF;0
162.6;4.198;0.000;AUTO;ON;OFF;0
163.8;4.198;0.000;AUTO;ON;OFF;0
164.8;4.198;0.000;AUTO;ON;OFF;0
165.8;4.197;0.000;AUTO;ON;OFF;0
166.9;4.197;0.000;AUTO;ON;OFF;0
167.9;4.198;0.000;AUTO;ON;OFF;0
168.9;4.198;0.000;AUTO;ON;OFF;0
169.9;4.197;0.000;AUTO;ON;OFF;0
170.7;4.196;0.000;AUTO;ON;OFF;0
171.9;4.196;0.000;AUTO;ON;OFF;0
172.9;4.196;0.000;AUTO;ON;OFF;0
173.9;4.197;0.000;AUTO;ON;OFF;0
174.9;4.196;0.000;AUTO;ON;OFF;0
175.9;4.197;0.000;AUTO;ON;OFF;0
176.9;4.197;0.000;AUTO;ON;OFF;0
178.0;4.197;0.000;AUTO;ON;OFF;0
178.9;4.197;0.000;AUTO;ON;OFF;0
180.0;4.197;0.000;AUTO;ON;OFF;0
181.0;4.196;0.000;AUTO;ON;OFF;0
182.0;4.196;0.000;AUTO;ON;OFF;0
183.0;4.197;0.000;AUTO;ON;OFF;0
184.0;4.197;0.000;AUTO;ON;OFF;0
185.0;4.197;0.000;AUTO;ON;OFF;0
186.1;4.197;0.000;AUTO;ON;OFF;0
187.0;4.197;0.000;AUTO;ON;OFF;0
188.1;4.197;0.000;AUTO;ON;OFF;0
189.1;4.196;0.000;AUTO;ON;OFF;0
190.1;4.197;0.000;AUTO;ON;OFF;0
191.1;4.196;0.000;AUTO;ON;OFF;0
192.1;4.197;0.000;AUTO;ON;OFF;0
193.1;4.197;0.000;AUTO;ON;OFF;0
193.9;4.197;0.000;AUTO;ON;OFF;0
195.1;4.196;0.000;AUTO;ON;OFF;0
196.2;4.196;0.000;AUTO;ON;OFF;0
197.2;4.197;0.000;AUTO;ON;OFF;0
198.2;4.197;0.000;AUTO;ON;OFF;0
199.2;4.197;0.000;AUTO;ON;OFF;0
200.2;4.198;0.000;AUTO;ON;OFF;0
201.2;4.198;0.000;AUTO;ON;OFF;0
202.1;4.197;0.000;AUTO;ON;OFF;0
203.2;4.197;0.000;AUTO;ON;OFF;0
204.3;4.197;0.000;AUTO;ON;OFF;0
205.3;4.198;0.000;AUTO;ON;OFF;0
206.3;4.198;0.000;AUTO;ON;OFF;0
207.3;4.198;0.000;AUTO;ON;OFF;0
208.3;4.198;0.000;AUTO;ON;OFF;0
209.3;4.197;0.000;AUTO;ON;OFF;0
210.2;4.198;0.000;AUTO;ON;OFF;0
211.3;4.198;0.000;AUTO;ON;OFF;0
212.4;4.198;0.000;AUTO;ON;OFF;0
213.4;4.196;0.000;AUTO;ON;OFF;0
214.4;4.198;0.000;AUTO;ON;OFF;0
215.4;4.197;0.000;AUTO;ON;OFF;0
216.4;4.197;0.000;AUTO;ON;OFF;0
217.4;4.198;0.000;AUTO;ON;OFF;0
218.3;4.198;0.000;AUTO;ON;OFF;0
219.4;4.198;0.000;AUTO;ON;OFF;0
220.4;4.198;0.000;AUTO;ON;OFF;0
221.5;4.198;0.000;AUTO;ON;OFF;0
222.5;4.197;0.000;AUTO;ON;OFF;0
223.5;4.197;0.000;AUTO;ON;OFF;0
224.5;4.198;0.000;AUTO;ON;OFF;0
225.5;4.198;0.000;AUTO;ON;OFF;0
226.4;4.198;0.000;AUTO;ON;OFF;0
227.5;4.198;0.000;AUTO;ON;OFF;0
228.5;4.198;0.000;AUTO;ON;OFF;0
229.5;4.197;0.000;AUTO;ON;OFF;0
230.6;4.198;0.000;AUTO;ON;OFF;0
231.6;4.198;0.000;AUTO;ON;OFF;0
232.6;4.198;0.000;AUTO;ON;OFF;0
233.4;4.198;0.000;AUTO;ON;OFF;0
234.5;4.198;0.000;AUTO;ON;OFF;0
235.6;4.198;0.000;AUTO;ON;OFF;0
236.6;4.198;0.000;AUTO;ON;OFF;0
237.7;4.198;0.000;AUTO;ON;OFF;0
238.7;4.198;0.000;AUTO;ON;OFF;0
239.7;4.199;0.000;AUTO;ON;OFF;0
240.7;4.198;0.000;AUTO;ON;OFF;0
241.5;4.198;0.000;AUTO;ON;OFF;0
242.7;4.199;0.000;AUTO;ON;OFF;0
243.7;4.199;0.000;AUTO;ON;OFF;0
244.7;4.198;0.000;AUTO;ON;OFF;0
245.7;4.198;0.000;AUTO;ON;OFF;0
246.8;4.198;0.000;AUTO;ON;OFF;0
247.8;4.199;0.000;AUTO;ON;OFF;0
248.8;4.198;0.000;AUTO;ON;OFF;0
249.6;4.198;0.000;AUTO;ON;OFF;0
250.8;4.198;0.000;AUTO;ON;OFF;0
251.8;4.198;0.000;AUTO;ON;OFF;0
252.8;4.198;0.000;AUTO;ON;OFF;0
253.8;4.198;0.000;AUTO;ON;OFF;0
254.8;4.198;0.000;AUTO;ON;OFF;0
255.8;4.198;0.000;AUTO;ON;OFF;0
256.9;4.198;0.000;AUTO;ON;OFF;0
257.7;4.198;0.000;AUTO;ON;OFF;0
258.9;4.198;0.000;AUTO;ON;OFF;0
259.9;4.198;0.000;AUTO;ON;OFF;0
260.9;4.198;0.000;AUTO;ON;OFF;0
261.9;4.199;0.000;AUTO;ON;OFF;0
262.9;4.198;0.000;AUTO;ON;OFF;0
263.9;4.198;0.000;AUTO;ON;OFF;0
264.9;4.198;0.000;AUTO;ON;OFF;0
265.9;4.199;0.000;AUTO;ON;OFF;0
267.0;4.199;0.000;AUTO;ON;OFF;0
268.0;4.199;0.000;AUTO;ON;OFF;0
269.0;4.200;0.000;AUTO;ON;OFF;0
270.0;4.198;0.000;AUTO;ON;OFF;0
271.0;4.198;0.000;AUTO;ON;OFF;0
272.0;4.198;0.000;AUTO;ON;OFF;0
272.8;4.199;0.000;AUTO;ON;OFF;0
274.0;4.198;0.000;AUTO;ON;OFF;0
275.1;4.198;0.000;AUTO;ON;OFF;0
276.1;4.198;0.000;AUTO;ON;OFF;0
277.1;4.198;0.000;AUTO;ON;OFF;0
278.1;4.198;0.000;AUTO;ON;OFF;0
279.1;4.198;0.000;AUTO;ON;OFF;0
280.1;4.198;0.000;AUTO;ON;OFF;0
280.9;4.198;0.000;AUTO;ON;OFF;0
282.1;4.198;0.000;AUTO;ON;OFF;0
283.1;4.198;0.000;AUTO;ON;OFF;0
284.2;4.199;0.000;AUTO;ON;OFF;0
285.2;4.199;0.000;AUTO;ON;OFF;0
286.2;4.199;0.000;AUTO;ON;OFF;0
287.2;4.198;0.000;AUTO;ON;OFF;0
288.2;4.198;0.000;AUTO;ON;OFF;0
289.1;4.198;0.000;AUTO;ON;OFF;0
290.2;4.198;0.000;AUTO;ON;OFF;0
291.2;4.198;0.000;AUTO;ON;OFF;0
292.3;4.199;0.000;AUTO;ON;OFF;0
293.3;4.199;0.000;AUTO;ON;OFF;0
294.3;4.200;0.000;AUTO;ON;OFF;0
295.3;4.199;0.000;AUTO;ON;OFF;0
296.3;4.200;0.000;AUTO;ON;OFF;0
297.2;4.200;0.000;AUTO;ON;OFF;0
298.3;4.200;0.000;AUTO;ON;OFF;0
299.3;4.199;0.000;AUTO;ON;OFF;0
300.4;4.199;0.000;AUTO;ON;OFF;0
301.4;4.199;0.000;AUTO;ON;OFF;0
302.4;4.199;0.000;AUTO;ON;OFF;0
303.4;4.199;0.000;AUTO;ON;OFF;0
304.4;4.198;0.000;AUTO;ON;OFF;0
305.3;4.198;0.000;AUTO;ON;OFF;0
306.4;4.198;0.000;AUTO;ON;OFF;0
307.4;4.198;0.000;AUTO;ON;OFF;0
308.4;4.198;0.000;AUTO;ON;OFF;0
309.5;4.199;0.000;AUTO;ON;OFF;0
310.5;4.198;0.000;AUTO;ON;OFF;0
311.5;4.199;0.000;AUTO;ON;OFF;0
312.5;4.199;0.000;AUTO;ON;OFF;0
313.4;4.198;0.000;AUTO;ON;OFF;0
314.5;4.198;0.000;AUTO;ON;OFF;0
315.5;4.198;0.000;AUTO;ON;OFF;0
316.5;4.198;0.000;AUTO;ON;OFF;0
317.6;4.199;0.000;AUTO;ON;OFF;0
318.6;4.199;0.000;AUTO;ON;OFF;0
319.6;4.198;0.000;AUTO;ON;OFF;0
320.4;4.199;0.000;AUTO;ON;OFF;0
321.5;4.199;0.000;AUTO;ON;OFF;0
322.6;4.199;0.000;AUTO;ON;OFF;0
323.6;4.198;0.000;AUTO;ON;OFF;0
324.6;4.198;0.000;AUTO;ON;OFF;0
325.6;4.198;0.000;AUTO;ON;OFF;0
326.7;4.198;0.000;AUTO;ON;OFF;0
327.7;4.199;0.000;AUTO;ON;OFF;0
328.5;4.198;0.000;AUTO;ON;OFF;0
329.7;4.198;0.000;AUTO;ON;OFF;0
330.7;4.198;0.000;AUTO;ON;OFF;0
331.7;4.199;0.000;AUTO;ON;OFF;0
332.7;4.199;0.000;AUTO;ON;OFF;0
333.7;4.199;0.000;AUTO;ON;OFF;0
334.7;4.199;0.000;AUTO;ON;OFF;0
335.8;4.199;0.000;AUTO;ON;OFF;0
336.6;4.199;0.000;AUTO;ON;OFF;0
337.8;4.199;0.000;AUTO;ON;OFF;0
338.8;4.200;0.000;AUTO;ON;OFF;0
339.8;4.200;0.000;AUTO;ON;OFF;0
340.8;4.200;0.000;AUTO;ON;OFF;0
341.8;4.200;0.000;AUTO;ON;OFF;0
342.8;4.199;0.000;AUTO;ON;OFF;0
343.8;4.199;0.000;AUTO;ON;OFF;0
344.7;4.199;0.000;AUTO;ON;OFF;0
345.9;4.199;0.000;AUTO;ON;OFF;0
346.9;4.198;0.000;AUTO;ON;OFF;0
347.9;4.198;0.000;AUTO;ON;OFF;0
348.9;4.199;0.000;AUTO;ON;OFF;0
349.9;4.200;0.000;AUTO;ON;OFF;0
350.9;4.199;0.000;AUTO;ON;OFF;0
351.9;4.199;0.000;AUTO;ON;OFF;0
352.9;4.199;0.000;AUTO;ON;OFF;0
353.9;4.199;0.000;AUTO;ON;OFF;0
355.0;4.200;0.000;AUTO;ON;OFF;0
356.0;4.199;0.000;AUTO;ON;OFF;0
357.0;4.199;0.000;AUTO;ON;OFF;0
358.0;4.199;0.000;AUTO;ON;OFF;0
359.0;4.199;0.000;AUTO;ON;OFF;0
359.8;4.199;0.000;AUTO;ON;OFF;0
361.0;4.199;0.000;AUTO;ON;OFF;0
362.0;4.199;0.000;AUTO;ON;OFF;0
363.1;4.199;0.000;AUTO;ON;OFF;0
364.1;4.199;0.000;AUTO;ON;OFF;0
365.1;4.199;0.000;AUTO;ON;OFF;0
366.1;4.199;0.000;AUTO;ON;OFF;0
367.1;4.199;0.000;AUTO;ON;OFF;0
367.9;4.200;0.000;AUTO;ON;OFF;0
369.1;4.199;0.000;AUTO;ON;OFF;0
370.1;4.199;0.000;AUTO;ON;OFF;0
371.1;4.199;0.000;AUTO;ON;OFF;0
372.1;4.199;0.000;AUTO;ON;OFF;0
373.2;4.200;0.000;AUTO;OFF;ON;1
374.2;3.866;0.000;MANUAL;OFF;OFF;1
375.2;3.972;0.000;MANUAL;OFF;OFF;1
376.1;3.969;0.000;MANUAL;OFF;OFF;1
377.2;3.969;0.000;MANUAL;OFF;OFF;1
378.2;3.966;0.000;MANUAL;OFF;OFF;1
379.2;3.963;0.000;MANUAL;OFF;OFF;1
380.2;3.961;0.000;MANUAL;OFF;OFF;1
381.2;3.958;0.000;MANUAL;OFF;OFF;1
