Tempo (s);Tensao (V);Corrente (A);Modo;Carga;Descarga
74.1;4.171;0.000;AUTO;ON;OFF
75.0;4.170;0.000;AUTO;ON;OFF
75.1;4.170;0.000;AUTO;ON;OFF
76.1;4.171;0.000;AUTO;ON;OFF
76.2;4.171;0.000;AUTO;ON;OFF
77.3;4.172;0.000;AUTO;ON;OFF
77.3;4.172;0.000;AUTO;ON;OFF
78.4;4.172;0.000;AUTO;ON;OFF
78.4;4.172;0.000;AUTO;ON;OFF
79.5;4.172;0.000;AUTO;ON;OFF
79.6;4.171;0.000;AUTO;ON;OFF
80.6;4.171;0.000;AUTO;ON;OFF
80.8;4.173;0.000;AUTO;ON;OFF
81.7;4.173;0.000;AUTO;ON;OFF
81.9;4.173;0.000;AUTO;ON;OFF
82.7;4.173;0.000;AUTO;ON;OFF
83.1;4.173;0.000;AUTO;ON;OFF
83.8;4.173;0.000;AUTO;ON;OFF
84.2;4.173;0.000;AUTO;ON;OFF
84.9;4.173;0.000;AUTO;ON;OFF
85.4;4.174;0.000;AUTO;ON;OFF
85.9;4.174;0.000;AUTO;ON;OFF
86.6;4.174;0.000;AUTO;ON;OFF
87.0;4.174;0.000;AUTO;ON;OFF
87.7;4.173;0.000;AUTO;ON;OFF
88.1;4.173;0.000;AUTO;ON;OFF
88.9;4.174;0.000;AUTO;ON;OFF
89.1;4.174;0.000;AUTO;ON;OFF
90.0;4.174;0.000;AUTO;ON;OFF
90.2;4.174;0.000;AUTO;ON;OFF
91.2;4.174;0.000;AUTO;ON;OFF
91.3;4.174;0.000;AUTO;ON;OFF
92.3;4.174;0.000;AUTO;ON;OFF
92.4;4.173;0.000;AUTO;ON;OFF
93.4;4.173;0.000;AUTO;ON;OFF
93.5;4.174;0.000;AUTO;ON;OFF
94.5;4.174;0.000;AUTO;ON;OFF
94.7;4.174;0.000;AUTO;ON;OFF
95.6;4.174;0.000;AUTO;ON;OFF
95.8;4.173;0.000;AUTO;ON;OFF
96.6;4.173;0.000;AUTO;ON;OFF
97.0;4.174;0.000;AUTO;ON;OFF
97.7;4.174;0.000;AUTO;ON;OFF
98.2;4.176;0.000;AUTO;ON;OFF
98.8;4.176;0.000;AUTO;ON;OFF
99.3;4.175;0.000;AUTO;ON;OFF
99.9;4.175;0.000;AUTO;ON;OFF
100.5;4.175;0.000;AUTO;ON;OFF
101.0;4.175;0.000;AUTO;ON;OFF
101.6;4.175;0.000;AUTO;ON;OFF
102.1;4.175;0.000;AUTO;ON;OFF
102.8;4.175;0.000;AUTO;ON;OFF
103.1;4.175;0.000;AUTO;ON;OFF
104.0;4.178;0.000;AUTO;ON;OFF
104.2;4.178;0.000;AUTO;ON;OFF
105.1;4.178;0.000;AUTO;ON;OFF
105.3;4.178;0.000;AUTO;ON;OFF
106.3;4.179;0.000;AUTO;ON;OFF
106.4;4.179;0.000;AUTO;ON;OFF
107.4;4.179;0.000;AUTO;ON;OFF
107.5;4.180;0.000;AUTO;ON;OFF
108.5;4.180;0.000;AUTO;ON;OFF
108.6;4.180;0.000;AUTO;ON;OFF
109.6;4.180;0.000;AUTO;ON;OFF
109.8;4.180;0.000;AUTO;ON;OFF
110.6;4.180;0.000;AUTO;ON;OFF
110.9;4.180;0.000;AUTO;ON;OFF
111.7;4.180;0.000;AUTO;ON;OFF
112.1;4.180;0.000;AUTO;ON;OFF
112.8;4.180;0.000;AUTO;ON;OFF
113.2;4.179;0.000;AUTO;ON;OFF
113.9;4.179;0.000;AUTO;ON;OFF
114.4;4.180;0.000;AUTO;ON;OFF
115.0;4.180;0.000;AUTO;ON;OFF
115.6;4.180;0.000;AUTO;ON;OFF
116.1;4.180;0.000;AUTO;ON;OFF
116.7;4.180;0.000;AUTO;ON;OFF
117.1;4.180;0.000;AUTO;ON;OFF
117.9;4.181;0.000;AUTO;ON;OFF
118.2;4.181;0.000;AUTO;ON;OFF
119.0;4.181;0.000;AUTO;ON;OFF
119.3;4.181;0.000;AUTO;ON;OFF
120.2;4.181;0.000;AUTO;ON;OFF
120.3;4.181;0.000;AUTO;ON;OFF
121.4;4.181;0.000;AUTO;ON;OFF
121.4;4.181;0.000;AUTO;ON;OFF
122.5;4.181;0.000;AUTO;ON;OFF
122.5;4.180;0.000;AUTO;ON;OFF
123.6;4.180;0.000;AUTO;ON;OFF
123.7;4.183;0.000;AUTO;ON;OFF
124.6;4.183;0.000;AUTO;ON;OFF
124.8;4.182;0.000;AUTO;ON;OFF
125.7;4.182;0.000;AUTO;ON;OFF
126.0;4.181;0.000;AUTO;ON;OFF
126.8;4.181;0.000;AUTO;ON;OFF
127.2;4.182;0.000;AUTO;ON;OFF
127.9;4.182;0.000;AUTO;ON;OFF
128.3;4.182;0.000;AUTO;ON;OFF
128.9;4.182;0.000;AUTO;ON;OFF
129.5;4.181;0.000;AUTO;ON;OFF
130.0;4.181;0.000;AUTO;ON;OFF
130.6;4.182;0.000;AUTO;ON;OFF
131.1;4.182;0.000;AUTO;ON;OFF
131.8;4.181;0.000;AUTO;ON;OFF
132.2;4.181;0.000;AUTO;ON;OFF
133.0;4.181;0.000;AUTO;ON;OFF
133.2;4.181;0.000;AUTO;ON;OFF
134.1;4.181;0.000;AUTO;ON;OFF
134.3;4.181;0.000;AUTO;ON;OFF
135.3;4.182;0.000;AUTO;ON;OFF
135.4;4.182;0.000;AUTO;ON;OFF
136.4;4.181;0.000;AUTO;ON;OFF
136.5;4.181;0.000;AUTO;ON;OFF
137.5;4.181;0.000;AUTO;ON;OFF
137.6;4.182;0.000;AUTO;ON;OFF
138.6;4.182;0.000;AUTO;ON;OFF
138.8;4.182;0.000;AUTO;ON;OFF
139.7;4.182;0.000;AUTO;ON;OFF
139.9;4.182;0.000;AUTO;ON;OFF
140.7;4.182;0.000;AUTO;ON;OFF
141.1;4.182;0.000;AUTO;ON;OFF
141.8;4.182;0.000;AUTO;ON;OFF
142.2;4.182;0.000;AUTO;ON;OFF
142.9;4.182;0.000;AUTO;ON;OFF
143.4;4.183;0.000;AUTO;ON;OFF
144.0;4.183;0.000;AUTO;ON;OFF
144.6;4.183;0.000;AUTO;ON;OFF
145.0;4.183;0.000;AUTO;ON;OFF
145.7;4.183;0.000;AUTO;ON;OFF
146.1;4.183;0.000;AUTO;ON;OFF
146.9;4.183;0.000;AUTO;ON;OFF
147.2;4.183;0.000;AUTO;ON;OFF
148.0;4.183;0.000;AUTO;ON;OFF
148.2;4.183;0.000;AUTO;ON;OFF
149.2;4.183;0.000;AUTO;ON;OFF
149.3;4.183;0.000;AUTO;ON;OFF
150.4;4.186;0.000;AUTO;ON;OFF
150.4;4.186;0.000;AUTO;ON;OFF
151.5;4.186;0.000;AUTO;ON;OFF
151.5;4.185;0.000;AUTO;ON;OFF
152.6;4.185;0.000;AUTO;ON;OFF
152.7;4.185;0.000;AUTO;ON;OFF
153.7;4.185;0.000;AUTO;ON;OFF
153.8;4.185;0.000;AUTO;ON;OFF
154.7;4.185;0.000;AUTO;ON;OFF
155.0;4.185;0.000;AUTO;ON;OFF
155.8;4.185;0.000;AUTO;ON;OFF
156.2;4.185;0.000;AUTO;ON;OFF
156.9;4.185;0.000;AUTO;ON;OFF
157.3;4.185;0.000;AUTO;ON;OFF
158.0;4.185;0.000;AUTO;ON;OFF
158.5;4.186;0.000;AUTO;ON;OFF
159.0;4.186;0.000;AUTO;ON;OFF
159.6;4.186;0.000;AUTO;ON;OFF
160.1;4.186;0.000;AUTO;ON;OFF
160.8;4.185;0.000;AUTO;ON;OFF
161.2;4.185;0.000;AUTO;ON;OFF
162.0;4.185;0.000;AUTO;ON;OFF
162.2;4.185;0.000;AUTO;ON;OFF
163.1;4.185;0.000;AUTO;ON;OFF
163.3;4.185;0.000;AUTO;ON;OFF
164.3;4.185;0.000;AUTO;ON;OFF
