Tempo (s);Tensao (V);Corrente (A);Modo;Carga;Descarga
82.9;3.619;0.102;MANUAL;OFF;ON
83.4;3.619;0.102;MANUAL;OFF;ON
84.0;3.617;0.118;MANUAL;OFF;ON
84.6;3.617;0.118;MANUAL;OFF;ON
85.2;3.617;0.056;MANUAL;OFF;ON
85.6;3.617;0.056;MANUAL;OFF;ON
86.4;3.614;0.059;MANUAL;OFF;ON
86.7;3.614;0.059;MANUAL;OFF;ON
87.5;3.614;0.000;MANUAL;OFF;ON
87.8;3.614;0.000;MANUAL;OFF;ON
88.7;3.612;0.052;MANUAL;OFF;ON
88.8;3.612;0.052;MANUAL;OFF;ON
89.8;3.611;0.085;MANUAL;OFF;ON
89.9;3.611;0.085;MANUAL;OFF;ON
91.0;3.610;0.000;MANUAL;OFF;ON
91.0;3.610;0.000;MANUAL;OFF;ON
92.1;3.610;0.000;MANUAL;OFF;ON
92.2;3.609;0.066;MANUAL;OFF;ON
93.1;3.609;0.066;MANUAL;OFF;ON
93.3;3.608;0.106;MANUAL;OFF;ON
94.2;3.608;0.106;MANUAL;OFF;ON
94.5;3.606;0.071;MANUAL;OFF;ON
95.3;3.606;0.071;MANUAL;OFF;ON
95.6;3.605;0.000;MANUAL;OFF;ON
96.4;3.605;0.000;MANUAL;OFF;ON
96.8;3.605;0.000;MANUAL;OFF;ON
97.4;3.605;0.000;MANUAL;OFF;ON
98.0;3.603;0.120;MANUAL;OFF;ON
98.5;3.603;0.120;MANUAL;OFF;ON
99.1;3.603;0.164;MANUAL;OFF;ON
99.6;3.603;0.164;MANUAL;OFF;ON
100.3;3.601;0.117;MANUAL;OFF;ON
100.6;3.601;0.117;MANUAL;OFF;ON
101.4;3.600;0.054;MANUAL;OFF;ON
101.7;3.600;0.054;MANUAL;OFF;ON
102.6;3.599;0.136;MANUAL;OFF;ON
102.8;3.599;0.136;MANUAL;OFF;ON
103.8;3.597;0.071;MANUAL;OFF;ON
103.9;3.597;0.071;MANUAL;OFF;ON
104.9;3.596;0.110;MANUAL;OFF;ON
104.9;3.596;0.110;MANUAL;OFF;ON
106.0;3.596;0.110;MANUAL;OFF;ON
106.1;3.595;0.128;MANUAL;OFF;ON
107.1;3.595;0.128;MANUAL;OFF;ON
107.2;3.595;0.138;MANUAL;OFF;ON
108.2;3.595;0.138;MANUAL;OFF;ON
108.4;3.593;0.117;MANUAL;OFF;ON
109.2;3.593;0.117;MANUAL;OFF;ON
109.6;3.593;0.068;MANUAL;OFF;ON
110.3;3.593;0.068;MANUAL;OFF;ON
110.7;3.591;0.155;MANUAL;OFF;ON
111.3;3.591;0.155;MANUAL;OFF;ON
111.9;3.589;0.099;MANUAL;OFF;ON
112.4;3.589;0.099;MANUAL;OFF;ON
113.0;3.588;0.091;MANUAL;OFF;ON
113.5;3.588;0.091;MANUAL;OFF;ON
114.2;3.588;0.164;MANUAL;OFF;ON
114.5;3.588;0.164;MANUAL;OFF;ON
115.3;3.586;0.122;MANUAL;OFF;ON
115.6;3.586;0.122;MANUAL;OFF;ON
116.5;3.585;0.061;MANUAL;OFF;ON
116.7;3.585;0.061;MANUAL;OFF;ON
117.7;3.584;0.138;MANUAL;OFF;ON
117.8;3.584;0.138;MANUAL;OFF;ON
118.8;3.584;0.138;MANUAL;OFF;ON
118.8;3.583;0.071;MANUAL;OFF;ON
119.9;3.583;0.071;MANUAL;OFF;ON
120.0;3.583;0.099;MANUAL;OFF;ON
121.0;3.583;0.099;MANUAL;OFF;ON
121.2;3.581;0.088;MANUAL;OFF;ON
122.0;3.581;0.088;MANUAL;OFF;ON
122.3;3.581;0.051;MANUAL;OFF;ON
123.1;3.581;0.051;MANUAL;OFF;ON
123.5;3.579;0.065;MANUAL;OFF;ON
124.2;3.579;0.065;MANUAL;OFF;ON
124.6;3.578;0.084;MANUAL;OFF;ON
125.3;3.578;0.084;MANUAL;OFF;ON
125.8;3.578;0.080;MANUAL;OFF;ON
126.3;3.578;0.080;MANUAL;OFF;ON
127.0;3.576;0.000;MANUAL;OFF;ON
127.4;3.576;0.000;MANUAL;OFF;ON
128.1;3.575;0.068;MANUAL;OFF;ON
128.5;3.575;0.068;MANUAL;OFF;ON
129.3;3.574;0.081;MANUAL;OFF;ON
129.5;3.574;0.081;MANUAL;OFF;ON
130.4;3.573;0.105;MANUAL;OFF;ON
130.6;3.573;0.105;MANUAL;OFF;ON
131.6;3.572;0.149;MANUAL;OFF;ON
131.7;3.572;0.149;MANUAL;OFF;ON
132.7;3.572;0.149;MANUAL;OFF;ON
132.8;3.571;0.051;MANUAL;OFF;ON
133.8;3.571;0.051;MANUAL;OFF;ON
133.9;3.570;0.076;MANUAL;OFF;ON
134.9;3.570;0.076;MANUAL;OFF;ON
135.1;3.568;0.094;MANUAL;OFF;ON
135.9;3.568;0.094;MANUAL;OFF;ON
136.2;3.568;0.111;MANUAL;OFF;ON
137.0;3.568;0.111;MANUAL;OFF;ON
137.4;3.567;0.060;MANUAL;OFF;ON
138.1;3.567;0.060;MANUAL;OFF;ON
138.6;3.566;0.100;MANUAL;OFF;ON
139.2;3.566;0.100;MANUAL;OFF;ON
139.7;3.565;0.082;MANUAL;OFF;ON
140.2;3.565;0.082;MANUAL;OFF;ON
140.9;3.563;0.099;MANUAL;OFF;ON
141.3;3.563;0.099;MANUAL;OFF;ON
142.0;3.562;0.099;MANUAL;OFF;ON
142.4;3.562;0.099;MANUAL;OFF;ON
143.2;3.561;0.098;MANUAL;OFF;ON
143.5;3.561;0.098;MANUAL;OFF;ON
144.4;3.561;0.138;MANUAL;OFF;ON
144.5;3.561;0.138;MANUAL;OFF;ON
145.5;3.559;0.108;MANUAL;OFF;ON
145.6;3.559;0.108;MANUAL;OFF;ON
146.7;3.559;0.108;MANUAL;OFF;ON
146.7;3.559;0.131;MANUAL;OFF;ON
147.8;3.559;0.131;MANUAL;OFF;ON
147.8;3.558;0.086;MANUAL;OFF;ON
148.8;3.558;0.086;MANUAL;OFF;ON
149.0;3.556;0.114;MANUAL;OFF;ON
149.9;3.556;0.114;MANUAL;OFF;ON
150.2;3.555;0.068;MANUAL;OFF;ON
151.0;3.555;0.068;MANUAL;OFF;ON
151.3;3.554;0.115;MANUAL;OFF;ON
152.1;3.554;0.115;MANUAL;OFF;ON
152.5;3.554;0.000;MANUAL;OFF;ON
153.1;3.554;0.000;MANUAL;OFF;ON
153.6;3.553;0.112;MANUAL;OFF;ON
154.2;3.553;0.112;MANUAL;OFF;ON
154.8;3.551;0.093;MANUAL;OFF;ON
