Tempo (s);Tensao (V);Corrente (A);Modo;Carga;Descarga;Ciclo
0.1;;;AUTO;OFF;OFF;0
1.1;;;AUTO;OFF;OFF;0
2.1;4.210;0.000;AUTO;OFF;ON;0
3.1;3.860;0.000;AUTO;OFF;ON;0
4.2;3.860;0.000;AUTO;OFF;ON;0
5.2;3.853;0.000;AUTO;OFF;ON;0
6.2;3.848;0.000;AUTO;OFF;ON;0
7.2;3.844;0.000;AUTO;OFF;ON;0
8.2;3.841;0.000;AUTO;OFF;ON;0
9.2;3.838;0.000;AUTO;OFF;ON;0
10.2;3.836;0.000;AUTO;OFF;ON;0
11.2;3.815;0.000;AUTO;OFF;ON;0
12.3;3.815;0.000;AUTO;OFF;ON;0
13.3;3.821;0.000;AUTO;OFF;ON;0
14.3;3.826;0.000;AUTO;OFF;ON;0
15.3;3.825;0.000;AUTO;OFF;ON;0
16.3;3.824;0.000;AUTO;OFF;ON;0
17.3;3.822;0.000;AUTO;OFF;ON;0
18.3;3.820;0.000;AUTO;OFF;ON;0
19.3;3.817;0.000;AUTO;OFF;ON;0
20.4;3.817;0.000;AUTO;OFF;ON;0
21.4;3.814;0.000;AUTO;OFF;ON;0
22.4;3.813;0.000;AUTO;OFF;ON;0
23.4;3.811;0.000;AUTO;OFF;ON;0
24.4;3.809;0.000;AUTO;OFF;ON;0
25.4;3.808;0.000;AUTO;OFF;ON;0
26.5;3.806;0.000;AUTO;OFF;ON;0
27.5;3.804;0.000;AUTO;OFF;ON;0
28.5;3.804;0.000;AUTO;OFF;ON;0
29.5;3.803;0.000;AUTO;OFF;ON;0
30.5;3.802;0.000;AUTO;OFF;ON;0
31.5;3.800;0.000;AUTO;OFF;ON;0
32.5;3.799;0.000;AUTO;OFF;ON;0
33.5;3.797;0.000;AUTO;OFF;ON;0
34.6;3.796;0.000;AUTO;OFF;ON;0
35.6;3.796;0.000;AUTO;OFF;ON;0
36.6;3.795;0.000;AUTO;OFF;ON;0
37.6;3.794;0.000;AUTO;OFF;ON;0
38.6;3.792;0.000;AUTO;OFF;ON;0
39.6;3.790;0.000;AUTO;OFF;ON;0
40.6;3.789;0.000;AUTO;OFF;ON;0
41.7;3.789;0.000;AUTO;OFF;ON;0
42.7;3.787;0.000;AUTO;OFF;ON;0
43.7;3.786;0.000;AUTO;OFF;ON;0
44.7;3.786;0.000;AUTO;OFF;ON;0
45.7;3.785;0.000;AUTO;OFF;ON;0
