Tempo (s);Tensao (V);Corrente (A);Modo;Carga;Descarga;Ciclo
0.1;;;AUTO;OFF;OFF;0
1.1;;;AUTO;OFF;OFF;0
2.1;3.442;0.000;AUTO;ON;OFF;0
3.1;4.091;0.000;AUTO;ON;OFF;0
4.1;4.107;0.000;AUTO;ON;OFF;0
5.1;4.118;0.000;AUTO;ON;OFF;0
6.1;4.129;0.000;AUTO;ON;OFF;0
7.1;4.136;0.000;AUTO;ON;OFF;0
8.1;4.136;0.000;AUTO;ON;OFF;0
9.1;4.145;0.000;AUTO;ON;OFF;0
10.1;4.153;0.000;AUTO;ON;OFF;0
11.2;4.159;0.000;AUTO;ON;OFF;0
12.2;4.165;0.000;AUTO;ON;OFF;0
13.2;4.171;0.000;AUTO;ON;OFF;0
14.2;4.176;0.000;AUTO;ON;OFF;0
15.2;4.181;0.000;AUTO;ON;OFF;0
16.2;4.181;0.000;AUTO;ON;OFF;0
17.2;4.186;0.000;AUTO;ON;OFF;0
18.2;4.189;0.000;AUTO;ON;OFF;0
19.2;4.190;0.000;AUTO;ON;OFF;0
20.2;4.191;0.000;AUTO;ON;OFF;0
21.2;4.192;0.000;AUTO;ON;OFF;0
22.2;4.193;0.000;AUTO;ON;OFF;0
23.2;4.193;0.000;AUTO;ON;OFF;0
24.3;4.193;0.000;AUTO;ON;OFF;0
25.3;4.193;0.000;AUTO;ON;OFF;0
26.3;4.193;0.000;AUTO;ON;OFF;0
27.3;4.194;0.000;AUTO;ON;OFF;0
28.3;4.195;0.000;AUTO;ON;OFF;0
29.3;4.196;0.000;AUTO;ON;OFF;0
30.3;4.197;0.000;AUTO;ON;OFF;0
31.3;4.197;0.000;AUTO;ON;OFF;0
32.4;4.198;0.000;AUTO;ON;OFF;0
33.4;4.198;0.000;AUTO;ON;OFF;0
34.4;4.199;0.000;AUTO;ON;OFF;0
35.4;4.200;0.000;AUTO;ON;OFF;0
36.4;4.200;0.000;AUTO;ON;OFF;0
37.4;4.200;0.000;AUTO;OFF;ON;0
38.4;3.420;0.000;MANUAL;OFF;OFF;1
39.4;3.420;0.000;MANUAL;OFF;OFF;1
40.4;3.672;0.000;MANUAL;OFF;OFF;1
41.4;3.667;0.000;MANUAL;OFF;OFF;1
42.4;3.662;0.000;MANUAL;OFF;OFF;1
43.5;3.660;0.000;MANUAL;OFF;OFF;1
44.5;3.655;0.000;MANUAL;OFF;OFF;1
